3075	14039	3
555	1254	3
321	9158	4
714	3952	5
2714	15598	4
170	5604	1
1602	11532	1
4840	15105	4
2696	15623	4
3542	8554	3
888	5828	5
10	692	4
3451	19026	4
3078	13059	4
2255	14408	4
560	4840	5
2073	12160	4
6	267	5
2602	7376	4
2175	5159	5
964	839	5
1258	12979	5
345	2719	4
134	4922	4
2362	13971	4
2491	5587	5
1432	15580	1
606	1947	3
1035	963	5
10	808	4
2173	17362	5
5	277	5
887	5545	5
3064	152	5
182	302	4
522	10466	5
843	5608	4
508	10248	4
3395	5564	5
196	1371	5
4511	16729	4
1634	8712	5
1628	492	5
327	894	4
3495	197	5
5104	7445	5
3622	878	4
3487	18591	3
3057	16445	5
1331	4558	4
3570	280	1
2103	14475	3
4334	17589	5
3796	9875	4
4190	14247	5
1849	4471	1
249	384	3
4843	17666	4
327	9454	2
718	1987	1
4671	14628	5
2619	2926	5
2708	14455	4
2903	17930	5
24	1837	5
1162	14881	4
2686	13505	4
421	194	5
1566	1822	5
2710	12338	2
2450	17939	5
3331	3281	5
1266	3502	5
3737	9890	4
3293	8150	4
719	12744	5
4034	4093	5
733	1278	5
557	11773	5
5173	8552	1
64	3249	4
5221	10335	3
13	1166	5
327	9357	5
964	11503	5
227	6823	2
1624	15934	5
143	5173	5
709	8779	5
514	7543	5
134	2712	5
4604	8347	5
1415	4742	5
1459	14727	4
1125	11107	3
1062	9765	3
195	6256	5
2618	14416	4
4982	9191	5
1072	11531	5
1790	1298	5
3243	10849	5
3569	3435	4
2340	2295	5
2659	6635	5
1446	15865	5
2788	1246	1
1889	4472	5
3185	1809	5
3284	17095	5
4349	16484	5
1327	11156	4
4763	17141	4
2647	17426	2
376	10154	5
719	12741	3
91	3907	5
453	3613	4
2314	953	5
5090	16315	4
440	1029	4
299	8806	5
47	2662	4
1246	15195	4
5265	16883	5
719	12531	2
2321	4261	4
5130	7147	4
3989	5289	5
3812	2418	5
719	2437	4
94	518	4
4123	4257	5
344	9662	4
2992	13208	5
4900	18250	5
163	910	5
1832	15140	3
2692	18029	4
2249	15530	5
2726	17394	5
2031	17077	5
600	682	5
2598	6234	5
1376	9108	5
5166	7376	5
1821	16568	5
1950	15453	5
4019	17899	1
3197	7230	4
3054	10879	5
2585	7470	3
5267	8364	2
2053	16654	1
1796	10206	5
4648	18717	5
4872	17437	5
892	4393	5
5142	18529	4
5257	770	3
719	3383	2
1855	11321	2
13	1157	5
4109	16255	4
1142	11499	5
45	2469	4
4853	12203	5
